,Unnamed: 0,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb
271,271,78 Wolseley Grove," 410,000 ", Dec 2016,0, ,, 410 , Jul 2018, 644 ,,4,2,2,Bell Post Hill
272,272,43 Ruhamah Avenue," 310,000 ", Dec 2016,0," 177,000 ", May 2003, ,, 623  ,108.0,3,1,2,Bell Post Hill
273,273,87 Newton Avenue," 340,000 ", Dec 2016,0," 270,000 ", Oct 2009, ,, 540  ,130.0,3,1,1,Bell Post Hill
274,274,56 Jedda Street," 365,000 ", Nov 2016,0," 115,000 ", May 1989, ,, 643 ,,3,2,4,Bell Post Hill
275,275,101 Darriwill Street," 388,000 ", Nov 2016,0," 355,000 ", Jan 2014, ,, 618 ,,3,1,2,Bell Post Hill
276,276,41 Darriwill Street," 490,000 ", Nov 2016,0, ,, ,, 743 ,,4,2,2,Bell Post Hill
277,277,9 Jedda Street," 350,000 ", Nov 2016,0," 61,000 ", Jun 1986, ,, 695 ,,3,2,2,Bell Post Hill
278,278,19 Schofield Court," 335,000 ", 22 Nov 2016,1," 252,500 ", Mar 2010, ,, 722 ,,0,0,0,Bell Post Hill
279,279,27 Hosie Avenue," 344,000 ", Nov 2016,0," 242,000 ", Sep 2007, ,, 576  ,135.0,3,1,4,Bell Post Hill
280,280,73 Rollins Road," 150,000 ", Nov 2016,0," 79,000 ", Feb 2000, ,, 673 ,,1,1,2,Bell Post Hill
281,281,84 Kansas Avenue," 300,000 ", Nov 2016,0, ,, 290 , Nov 2016, 540 ,,2,1,1,Bell Post Hill
282,282,1/5 Fairy Street," 350,000 ", Nov 2016,0," 206,000 ", Jan 2005, ,, 496 ,,0,0,0,Bell Post Hill
283,283,26 Leila Crescent," 433,750 ", Nov 2016,0," 227,000 ", Jun 2002, ,, 555 ,,4,3,2,Bell Post Hill
284,284,5a Fairy Street," 350,000 ", Nov 2016,0, ,, 330 , Feb 2016, ,,3,1,1,Bell Post Hill
285,285,10 Liston Street," 355,000 ", Nov 2016,0," 235,000 ", Feb 2008, ,, 643  ,123.0,3,1,3,Bell Post Hill
286,286,97 Rollins Road," 405,000 ", Oct 2016,0, ,, ,, 762 ,,4,1,1,Bell Post Hill
287,287,2/92 Darriwill Street," 429,000 ", Oct 2016,0, ,, 430 , Oct 2012, 536 ,,3,2,2,Bell Post Hill
288,288,62 Jedda Street," 396,000 ", Oct 2016,0, ,, ,, 651 ,,3,2,3,Bell Post Hill
289,289,92B Darriwill Street," 429,000 ", Oct 2016,0, ,, 395 , Jun 2017, 291 ,,3,2,1,Bell Post Hill
290,290,19 Dane Avenue," 610,000 ", Oct 2016,0, ,, ,, 632 ,,4,2,2,Bell Post Hill
291,291,79 Neil Street," 391,000 ", Oct 2016,0," 133,000 ", Jul 2001, ,, 632 ,,3,1,1,Bell Post Hill
292,292,59 Edison Road," 350,000 ", Oct 2016,0," 339,900 ", Oct 2009, ,, 527  ,176.0,3,1,1,Bell Post Hill
293,293,39 Corinella Street," 350,000 ", Oct 2016,0," 301,000 ", Jun 2011, ,, 627  ,215.0,3,1,4,Bell Post Hill
294,294,70 Corinella Street," 361,000 ", Oct 2016,0," 225,000 ", Jan 2007, ,, 631  ,123.0,4,1,2,Bell Post Hill
295,295,19 McNaughton Street," 133,250 ", Sep 2016,0, ,, ,, 218 ,,0,0,0,Bell Post Hill
296,296,43 Kansas Avenue," 366,000 ", Sep 2016,0," 270,000 ", Nov 2013, ,, 539  ,136.0,3,1,4,Bell Post Hill
297,297,45-47 Leila Crescent," 162,000 ", Sep 2016,0, ,, ,, 879 ,,0,0,0,Bell Post Hill
298,298,31 Darriwill Street," 365,000 ", Sep 2016,0," 220,000 ", Nov 2004, ,, 621 ,,3,1,6,Bell Post Hill
299,299,12 Braund Avenue," 322,000 ", Sep 2016,0," 107,000 ", Feb 2000, ,, 629 ,,3,1,2,Bell Post Hill
0,0,25 Hitchcock Street," 410,000 ", Aug 2020,0," 130,000 ", Nov 2002, ,, 548 ,,2,0,0,Break Water
1,1,20 Young Street," 387,000 ", Jun 2020,0," 234,000 ", Aug 2010, ,, 591 ,,0,0,0,Break Water
2,2,14 Tucker Street," 406,500 ", May 2020,0," 181,000 ", Jun 2006, ,, 687 ,,3,1,1,Break Water
3,3,2/24 Cosgrove Street," 405,500 ", Dec 2019,0," 302,000 ", Jul 2015, ,, 285  ,111.0,0,0,0,Break Water
4,4,33 Hitchcock Street," 410,000 ", Nov 2019,0," 265,000 ", Mar 2015, ,, 560  ,102.0,2,1,2,Break Water
5,5,1 Hodges Court," 385,000 ", Oct 2019,0," 336,000 ", Nov 2017, ,, 543 ,,3,1,1,Break Water
6,6,44 Fidge Crescent," 425,000 ", Oct 2019,0," 250,000 ", Nov 2013, ,, 557  ,99.0,3,1,2,Break Water
7,7,10 Fidge Crescent," 382,000 ", Sep 2019,0, ,, ,, 545 ,,3,1,2,Break Water
8,8,8 Fidge Crescent," 410,000 ", Jul 2019,0," 195,000 ", Oct 2005, ,, 558 ,,3,1,4,Break Water
9,9,27 Fidge Crescent," 392,000 ", Jul 2019,0," 213,000 ", Mar 2009, ,, 581 ,,3,1,2,Break Water
10,10,29 Hitchcock Street," 405,000 ", Jul 2019,0," 230,000 ", Jan 2012, ,, 553  ,102.0,3,1,1,Break Water
11,11,29B Tanner Street," 400,000 ", Jun 2019,0, ,, 350 , Jun 2019, 337 ,,3,1,2,Break Water
12,12,52 Tucker Street," 830,000 ", May 2019,0," 110,000 ", Feb 2000, ,," 1,979 ",,4,2,6,Break Water
13,13,25 Tanner Street," 540,000 ", May 2019,0," 163,000 ", Dec 2008, ,, 767  ,209.0,4,2,2,Break Water
14,14,64 Fidge Crescent," 398,000 ", May 2019,0, ,, ,, 558 ,,3,1,2,Break Water
15,15,8/55 Tanner Street," 359,000 ", May 2019,0," 300,000 ", Sep 2017, ,, 251 ,,2,1,1,Break Water
16,16,16 Tanner Street," 450,000 ", May 2019,0," 350,000 ", Nov 2013, ,, 613  ,111.0,4,1,2,Break Water
17,17,1/21 Tucker Street," 255,000 ", Apr 2019,0, ,, ,, 67 ,,2,1,1,Break Water
18,18,4/51 Tanner Street," 362,000 ", Jan 2019,0," 272,500 ", Jul 2009, ,, 325  ,103.0,0,0,0,Break Water
19,19,4 Solomon Court," 385,000 ", Jan 2019,0, ,, 370 , Mar 2019, 603 ,,3,1,2,Break Water
20,20,29A Tanner Street," 475,000 ", Jan 2019,0, ,, ,, 428 ,,4,2,3,Break Water
21,21,16 Hitchcock Street," 376,000 ", 10 Nov 2018,1, ,, ,, 557 ,,3,1,1,Break Water
22,22,13 Fellmongers Road," 370,000 ", Oct 2018,0, ,, ,, 665 ,,3,1,6,Break Water
23,23,236 St Albans Road," 455,000 ", Oct 2018,0," 77,500 ", Aug 1995, ,, 663 ,,3,1,3,Break Water
24,24,41 Fidge Crescent," 375,000 ", Oct 2018,0, ,, 350 , Nov 2018, 589 ,,2,2,2,Break Water
25,25,108 Tanner Street," 975,000 ", Sep 2018,0," 284,000 ", Feb 2000, ,," 9,977 ",,4,2,3,Break Water
26,26,49 Tucker Street," 517,000 ", 25 Aug 2018,1, ,, 390 , Dec 2016, 876 ,,4,2,2,Break Water
27,27,2/58 Tucker Street," 367,500 ", Aug 2018,0," 310,000 ", Jul 2016, ,," 1,364 ",,2,2,1,Break Water
28,28,9/1 Holman Court," 225,500 ", Aug 2018,0," 146,000 ", Jun 2012, ,, 52 ,,0,0,0,Break Water
29,29,9 Young Street," 385,000 ", Jul 2018,0," 275,000 ", Dec 2016, ,, 596  ,116.0,3,1,2,Break Water
30,30,48 Fidge Crescent," 378,000 ", Jul 2018,0," 151,000 ", Sep 2002, ,, 557 ,,3,1,3,Break Water
31,31,18 Fidge Crescent," 420,000 ", Jul 2018,0, ,, 360 , Aug 2020, 557 ,,3,1,5,Break Water
32,32,12 McAllister Street," 400,000 ", Jul 2018,0," 210,000 ", Jun 2007, ,, 536 ,,3,1,2,Break Water
33,33,62 Fidge Crescent," 440,000 ", Jun 2018,0," 206,000 ", Jan 2010, ,, 557 ,,3,1,2,Break Water
34,34,51A Tanner Street," 507,000 ", Jun 2018,0, ,, ,, 631 ,,4,2,2,Break Water
35,35,2/21 Tucker Street," 325,000 ", Jun 2018,0," 266,000 ", Jan 2015, ,, 72  ,72.0,0,0,0,Break Water
36,36,30 Fidge Crescent," 385,000 ", Jun 2018,0," 257,000 ", May 2015, ,, 557 ,,3,1,1,Break Water
37,37,8/58 Tucker Street," 390,000 ", Jun 2018,0," 360,000 ", Dec 2015, ,, 322 ,,3,2,2,Break Water
38,38,3/2 Hamilton Court," 355,000 ", Jun 2018,0," 290,000 ", Nov 2014, ,, 192 ,,2,1,1,Break Water
39,39,3 Higgins Court," 385,000 ", Apr 2018,0," 245,000 ", Apr 2014, ,, 615  ,102.0,3,1,1,Break Water
40,40,10/1 Holman Court," 200,000 ", Apr 2018,0," 125,000 ", Feb 2000, ,, 51 ,,0,0,0,Break Water
41,41,2/3 Tanner Street," 360,000 ", Apr 2018,0, ,, 360 , Dec 2017, 149 ,,3,2,1,Break Water
42,42,3 Holman Court," 325,000 ", Apr 2018,0," 182,600 ", Aug 2004, ,, 406 ,,0,0,0,Break Water
43,43,2/51 Tanner Street," 346,000 ", Apr 2018,0," 260,000 ", Oct 2009, ,, 329 ,,3,1,2,Break Water
44,44,1/1 Tanner Street," 355,000 ", Mar 2018,0," 310,000 ", Apr 2015, ,, 249 ,,0,0,0,Break Water
45,45,2 Fidge Crescent," 410,000 ", Mar 2018,0," 187,500 ", Apr 2005, ,, 591 ,,4,1,1,Break Water
46,46,4 Hodges Court," 332,000 ", 17 Feb 2018,1, ,, ,, 538 ,,2,1,1,Break Water
47,47,15 Hitchcock Street," 380,000 ", Feb 2018,0, ,, ,, 534 ,,3,1,2,Break Water
48,48,5 Young Street," 285,000 ", Feb 2018,0," 205,000 ", Oct 2010, ,, 534 ,,3,1,0,Break Water
49,49,3/3 Tanner Street," 350,000 ", Jan 2018,0," 310,000 ", Jan 2016, ,, 180  ,138.0,0,0,0,Break Water
50,50,7 Fellmongers Road," 295,000 ", Dec 2017,0," 157,500 ", May 2002, ,, 604 ,,3,0,0,Break Water
51,51,12 Tanner Street," 335,000 ", 16 Dec 2017,1," 149,000 ", Jan 2003, ,, 477  ,151.0,3,1,1,Break Water
52,52,29 Tanner Street," 400,000 ", Nov 2017,0," 165,000 ", Apr 2006, ,, 767  ,148.0,4,2,2,Break Water
53,53,27 Young Street," 391,000 ", Nov 2017,0, ,, ,, 534 ,,3,1,1,Break Water
54,54,11 Fellmongers Road," 391,000 ", Nov 2017,0," 247,500 ", Dec 2014, ,, 664  ,113.0,3,1,4,Break Water
55,55,6/22 Apparel Close," 450,000 ", Nov 2017,0," 290,000 ", May 2011, ,," 2,776 ",,0,0,0,Break Water
56,56,33 Tanner Street," 417,000 ", Oct 2017,0, ,, ,, 767 ,,3,1,2,Break Water
57,57,5 Fellmongers Road," 349,000 ", Oct 2017,0," 237,000 ", Sep 2009, ,, 608 ,,3,1,4,Break Water
58,58,4/55 Tanner Street," 300,000 ", Oct 2017,0," 245,000 ", Nov 2009, ,, 248 ,,0,0,0,Break Water
59,59,53 Tanner Street," 372,000 ", Sep 2017,0," 240,000 ", May 2009, ,, 739  ,126.0,3,1,2,Break Water
60,60,5 Tucker Street," 332,000 ", Aug 2017,0, ,, ,, 282 ,,2,1,1,Break Water
61,61,13 Fidge Crescent," 319,000 ", Aug 2017,0, ,, 310 , May 2019, 557 ,,3,1,1,Break Water
62,62,26 Fellmongers Road," 363,000 ", 05 Aug 2017,1," 255,002 ", May 2015, ,, 657  ,129.0,3,1,2,Break Water
63,63,66 Fidge Crescent," 320,000 ", Jul 2017,0," 72,000 ", Dec 1989, ,, 591 ,,3,1,1,Break Water
64,64,8 Hodges Court," 311,000 ", 22 Jul 2017,1," 100,000 ", Jan 2002, ,, 563 ,,3,1,3,Break Water
65,65,22 Fellmongers Road," 295,000 ", Jul 2017,0," 231,000 ", Aug 2012, ,, 656  ,118.0,2,1,2,Break Water
66,66,1/3 Tanner Street," 360,000 ", May 2017,0, ,, 360 , Feb 2012, 268 ,,4,2,1,Break Water
67,67,35 Hitchcock Street," 315,000 ", May 2017,0," 270,000 ", Dec 2011, ,, 562  ,97.0,3,1,2,Break Water
68,68,1/51 Tucker Street," 325,000 ", Apr 2017,0," 290,000 ", Jun 2011, ,, 261  ,107.0,3,1,1,Break Water
69,69,13 Tanner Street," 330,000 ", Apr 2017,0," 290,000 ", Oct 2015, ,, 843  ,122.0,2,1,4,Break Water
70,70,27 Tanner Street," 435,000 ", 08 Apr 2017,1," 51,400 ", Jan 1985, ,, 766 ,,3,1,5,Break Water
71,71,4/58 Tucker Street," 371,000 ", Mar 2017,0," 359,000 ", Oct 2015, ,," 1,364 ",,3,2,2,Break Water
72,72,16 Tucker Street," 226,500 ", Mar 2017,0, ,, ,, 617 ,,3,1,0,Break Water
73,73,1/60 Tanner Street," 310,000 ", Mar 2017,0, ,, 270 , Jun 2013, 273 ,,0,0,0,Break Water
74,74,1/7 Tucker Street," 245,000 ", Feb 2017,0," 180,000 ", Aug 2010, ,, 642 ,,2,1,1,Break Water
75,75,8 Solomon Court," 280,000 ", Jan 2017,0, ,, 300 , Mar 2017, 591 ,,3,1,0,Break Water
76,76,5 Hodges Court," 257,000 ", Dec 2016,0, ,, ,, 595 ,,3,1,1,Break Water
77,77,11/1 Holman Court," 180,000 ", Dec 2016,0," 138,000 ", Jun 2007, ,, 54 ,,0,0,0,Break Water
78,78,19 Tucker Street," 432,000 ", Nov 2016,0," 320,000 ", Jul 2009, ,, 22  ,138.0,3,1,1,Break Water
79,79,20 Fellmongers Road," 278,000 ", Nov 2016,0," 255,000 ", Aug 2013, ,, 655  ,120.0,3,1,2,Break Water
80,80,23 Young Street," 247,500 ", Nov 2016,0, ,, 280 , Jan 2018, 534 ,,3,1,1,Break Water
81,81,17 Mcallister Street," 305,000 ", Oct 2016,0," 230,000 ", Feb 2011, ,, 557 ,,3,1,1,Break Water
82,82,6 Hitchcock Street," 271,000 ", Oct 2016,0," 63,000 ", Jun 2000, ,, 581 ,,3,1,1,Break Water
83,83,28 Tanner Street," 350,000 ", Oct 2016,0," 131,000 ", Nov 1999, ,, 28 ,,4,2,4,Break Water
84,84,16 Young Street," 346,000 ", Sep 2016,0," 227,000 ", Jan 2012, ,, 534  ,137.0,3,2,2,Break Water
85,85,39 Tucker Street," 305,000 ", Aug 2016,0," 177,150 ", Mar 2008, ,, 699 ,,3,1,1,Break Water
86,86,17 Currier Street," 360,000 ", Aug 2016,0," 235,000 ", Jul 2011, ,, 540 ,,3,1,2,Break Water
87,87,6/58 Tucker Street," 325,000 ", Aug 2016,0, ,, 330 , May 2016," 1,364 ",,2,2,1,Break Water
88,88,38 Tucker Street," 245,000 ", Aug 2016,0," 81,750 ", Jun 1995, ,, 265 ,,0,0,0,Break Water
89,89,1 Young Street," 233,000 ", Aug 2016,0," 221,000 ", May 2014, ,, 572  ,100.0,3,1,1,Break Water
90,90,7/58 Tucker Street," 315,000 ", Jul 2016,0, ,, ,," 1,299 ",,2,2,1,Break Water
91,91,7/55 Tanner Street," 310,000 ", Jun 2016,0," 255,000 ", Sep 2009, ,, 273  ,118.0,3,1,3,Break Water
92,92,22-24 Leather Street," 1,450,000 ", May 2016,0," 400,000 ", Feb 2003, ,," 4,906 ",,0,0,0,Break Water
93,93,318 Boundary Road," 490,313 ", May 2016,0," 365,000 ", Sep 2012, ,," 1,200 ",,0,0,0,Break Water
94,94,27 Hitchcock Street," 277,500 ", May 2016,0," 210,000 ", Jun 2007, ,, 552 ,,3,1,1,Break Water
95,95,36 Cosgrove Street," 335,000 ", May 2016,0," 300,000 ", Jun 2009, ,, 247  ,137.0,3,1,2,Break Water
96,96,1/1 Holman Court," 205,000 ", May 2016,0," 145,000 ", May 2008, ,, 88 ,,2,1,1,Break Water
97,97,3/6 Solomon Court," 285,000 ", Apr 2016,0," 60,000 ", Sep 2011, ,, 270  ,121.0,3,2,1,Break Water
98,98,2A Cosgrove Street," 272,500 ", Apr 2016,0, ,, 300 , Sep 2018, 320 ,,2,1,1,Break Water
99,99,3 Young Street," 218,000 ", Mar 2016,0, ,, ,, 534 ,,3,1,1,Break Water
100,100,2/51 Tucker Street," 277,500 ", Feb 2016,0, ,, ,, 214 ,,0,0,0,Break Water
101,101,15 Young Street," 270,000 ", Feb 2016,0," 62,000 ", Dec 1988, ,, 539  ,113.0,3,1,1,Break Water
102,102,35A Tanner Street," 235,000 ", Jan 2016,0, ,, 240 , Mar 2014, 262  ,100.0,0,0,0,Break Water
103,103,19 Tanner Street," 315,000 ", Nov 2015,0," 275,000 ", May 2011, ,, 843  ,106.0,3,1,1,Break Water
104,104,2/2 Hamilton Court," 290,000 ", Oct 2015,0, ,, 320 , Dec 2016, 186  ,97.0,2,1,1,Break Water
105,105,34 Hitchcock Street," 275,000 ", Oct 2015,0, ,, ,, 639 ,,3,1,2,Break Water
106,106,6 Hamilton Court," 250,000 ", Oct 2015,0," 68,500 ", Feb 2000, ,, 657 ,,3,1,1,Break Water
107,107,1/22 Apparel Close," 429,000 ", Sep 2015,0," 275,000 ", Mar 2009, ,, 266  ,234.0,0,0,0,Break Water
108,108,1/2 Hamilton Court," 300,000 ", Aug 2015,0, ,, 300 , Apr 2015, 241  ,97.0,0,0,0,Break Water
109,109,2 McAllister Street," 267,000 ", Aug 2015,0," 253,000 ", Apr 2014, ,, 553 ,,3,1,2,Break Water
110,110,2 Tanner Court," 318,000 ", Jul 2015,0," 198,000 ", Aug 2003, ,, 654 ,,3,1,4,Break Water
111,111,24 Young Street," 267,500 ", Jun 2015,0, ,, ,, 534 ,,3,1,0,Break Water
112,112,208 St Albans Road," 276,500 ", May 2015,0," 219,000 ", Apr 2010, ,, 546  ,100.0,3,1,3,Break Water
113,113,7 Hodges Court," 270,000 ", May 2015,0," 190,000 ", Jul 2008, ,, 608  ,96.0,3,1,2,Break Water
114,114,35 Tanner Street," 355,000 ", May 2015,0," 299,000 ", Jul 2012, ,, 766 ,,2,1,6,Break Water
115,115,5/1 Holman Court," 177,000 ", Apr 2015,0," 159,000 ", Feb 2010, ,, 48 ,,2,1,1,Break Water
116,116,1/6 Keith Court," 219,000 ", Apr 2015,0," 79,500 ", Mar 1989, ,, 213 ,,2,1,1,Break Water
117,117,4/6-10 Apparel Close," 261,000 ", Mar 2015,0, ,, ,, 169 ,,0,0,0,Break Water
118,118,7 Young Street," 239,000 ", Mar 2015,0," 89,950 ", Jun 2001, ,, 537 ,,3,1,1,Break Water
119,119,198 St Albans Road," 222,500 ", Feb 2015,0," 50,500 ", Sep 1987, ,, 546  ,97.0,3,1,1,Break Water
120,120,2/6 Keith Court," 212,000 ", Feb 2015,0, ,, ,, 269 ,,2,1,3,Break Water
121,121,16 McAllister Street," 269,000 ", Feb 2015,0," 72,000 ", Jan 1997, ,, 544 ,,3,1,2,Break Water
122,122,27 Tucker Street," 205,000 ", Feb 2015,0," 77,000 ", Feb 2000, ,, 518 ,,2,1,3,Break Water
123,123,76 Breakwater Road," 358,000 ", Feb 2015,0," 305,000 ", May 2008, ,, 848  ,116.0,3,1,2,Break Water
124,124,10 McAllister Street," 245,000 ", Jan 2015,0, ,, ,, 539  ,104.0,3,1,0,Break Water
125,125,60 Fidge Crescent," 270,000 ", Jan 2015,0," 168,000 ", Dec 2004, ,, 554 ,,3,1,1,Break Water
126,126,8/6-10 Apparel Close," 260,000 ", Jan 2015,0, ,, ,, 167 ,,0,0,0,Break Water
127,127,8/6 Apparel Close," 260,000 ", Jan 2015,0, ,, ,, ,,0,0,0,Break Water
128,128,214 St Albans Road," 250,000 ", Dec 2014,0, ,, ,, 537 ,,3,1,2,Break Water
129,129,5-6 Industrial Place," 325,000 ", Dec 2014,0, ,, ,," 1,349 ",,0,0,0,Break Water
130,130,3-4 Industrial Place," 325,000 ", Dec 2014,0, ,, ,," 1,349 ",,0,0,0,Break Water
131,131,61 Leather Street," 2,100,000 ", Dec 2014,0, ,," 35,000 ", Oct 2016," 7,565  ",3034.0,0,0,0,Break Water
132,132,3 Industrial Place," 325,000 ", Dec 2014,0, ,, ,," 1,349 ",,0,0,0,Break Water
133,133,5 Industrial Place," 325,000 ", Dec 2014,0, ,, ,," 1,349 ",,0,0,0,Break Water
134,134,5/6-10 Apparel Close," 335,000 ", Nov 2014,0, ,, ,, 384 ,,0,0,0,Break Water
135,135,57 Tucker Street," 1,400,000 ", Nov 2014,0, ,, ,," 3,546 ",,0,0,0,Break Water
136,136,26 Leather Street," 495,000 ", Nov 2014,0, ,, ,," 2,148 ",,0,0,0,Break Water
137,137,9/6 Apparel Close," 291,500 ", Nov 2014,0, ,, ,, 166 ,,0,0,0,Break Water
138,138,5/6 Apparel Close," 335,000 ", Nov 2014,0, ,, ,, 383 ,,0,0,0,Break Water
139,139,36-40 Fellmongers Road," 7,490,676 ", Oct 2014,0," 6,325,000 ", Jul 2011, ,," 81,474 ",,0,0,0,Break Water
140,140,194 St Albans Road," 120,000 ", Oct 2014,0, ,, ,, 530  ,116.0,3,1,2,Break Water
141,141,36 Fellmongers Road," 7,490,676 ", Oct 2014,0, ,, ,," 81,474 ",,0,0,0,Break Water
142,142,26 Hitchcock Street," 280,000 ", Sep 2014,0," 126,000 ", Dec 2001, ,, 557  ,139.0,3,1,1,Break Water
143,143,9 Fellmongers Road," 230,000 ", Aug 2014,0," 69,500 ", Sep 1999, ,, 397  ,160.0,3,1,2,Break Water
144,144,20-21 Industrial Place," 1,000,000 ", Aug 2014,0," 260,000 ", Sep 2005, ,," 2,037 ",,0,0,0,Break Water
145,145,2 Dyson Court," 1,298,000 ", Aug 2014,0," 68,000 ", Mar 1995, ,," 4,388 ",,0,0,0,Break Water
146,146,20 Industrial Place," 1,000,000 ", Aug 2014,0, ,, ,," 2,037 ",,0,0,0,Break Water
147,147,10/6 Apparel Close," 335,500 ", Aug 2014,0, ,, ,, 161 ,,0,0,0,Break Water
148,148,1/6 Solomon Court," 225,000 ", Jun 2014,0, ,, ,, 302 ,,3,1,1,Break Water
149,149,39 Fidge Crescent," 179,900 ", Jun 2014,0," 169,000 ", Apr 2007, ,, 557  ,107.0,3,1,2,Break Water
150,150,92 St Albans Road," 220,000 ", Jun 2014,0, ,, ,, ,,0,0,0,Break Water
151,151,9a Fellmongers Road," 165,000 ", Jun 2014,0, ,, ,, 397 ,,2,1,1,Break Water
152,152,205 Boundary Road," 239,500 ", Jun 2014,0, ,, ,, ,,0,0,0,Break Water
153,153,2 Atkins Street," 199,000 ", Jun 2014,0, ,, ,, ,,0,0,0,Break Water
154,154,23 Boundary Road," 249,000 ", Jun 2014,0, ,, ,, ,,0,0,0,Break Water
155,155,9 Fidge Crescent," 254,000 ", Jun 2014,0," 225,000 ", Jul 2010, ,, 596  ,110.0,3,1,1,Break Water
156,156,15 Fellmongers Road," 277,000 ", Jun 2014,0, ,, ,, 664 ,,3,1,3,Break Water
157,157,32 Leather Street," 715,000 ", May 2014,0, ,, ,," 4,092  ",1458.0,0,0,0,Break Water
158,158,2/8 Tucker Street," 258,000 ", May 2014,0, ,, ,, 348  ,104.0,0,0,0,Break Water
159,159,9/9-11 Leather Street," 236,500 ", Apr 2014,0," 209,000 ", Aug 2011, ,, 110 ,,0,0,0,Break Water
160,160,6 McAllister Street," 265,000 ", Apr 2014,0," 73,000 ", Nov 1995, ,, 537  ,130.0,3,1,3,Break Water
161,161,9/9 Leather Street," 236,500 ", Mar 2014,0, ,, ,, 110 ,,0,0,0,Break Water
162,162,1/8 Tucker Street," 245,000 ", Mar 2014,0, ,, ,, 365  ,90.0,6,2,3,Break Water
163,163,2/9-11 Leather Street," 198,000 ", Feb 2014,0," 138,000 ", Apr 2007, ,, 94 ,,0,0,0,Break Water
164,164,4 Tucker Street," 242,500 ", Jan 2014,0, ,, ,, 856  ,97.0,3,1,1,Break Water
165,165,2/6-10 Apparel Close," 266,000 ", Dec 2013,0, ,, ,, 169  ,162.0,0,0,0,Break Water
166,166,2/6 Apparel Close," 266,000 ", Dec 2013,0, ,, ,, ,,0,0,0,Break Water
167,167,6/21 Leather Street," 720,000 ", Dec 2013,0," 550,000 ", May 2009, ,," 1,337 ",,0,0,0,Break Water
168,168,1/6 Apparel Close," 302,500 ", Dec 2013,0, ,, ,, ,,0,0,0,Break Water
169,169,4/43-45 Tucker Street," 233,000 ", Nov 2013,0," 89,000 ", May 2001, ,, 187 ,,0,0,0,Break Water
170,170,4/43 Tucker Street," 233,000 ", Nov 2013,0, ,, ,, 187 ,,0,0,0,Break Water
171,171,5/12 Apparel Close," 335,500 ", Nov 2013,0, ,, ,, 216 ,,0,0,0,Break Water
172,172,56B Tucker Street," 350,250 ", Oct 2013,0," 280,000 ", Dec 2007, ,, 762  ,125.0,3,1,1,Break Water
173,173,33 Young Street," 250,000 ", Oct 2013,0, ,, 350 , Sep 2019, 534  ,100.0,3,1,2,Break Water
174,174,8 Tucker Street," 363,700 ", Oct 2013,0, ,, ,, 135 ,,6,2,3,Break Water
175,175,14-16 Currier Street," 390,000 ", Oct 2013,0," 220,000 ", Jul 2005, ,," 1,854 ",,0,0,0,Break Water
176,176,3/66 Tanner Street," 375,100 ", Oct 2013,0, ,, ,, 504 ,,0,0,0,Break Water
177,177,1/66 Tanner Street," 120,450 ", Oct 2013,0, ,, ,, 872 ,,0,0,0,Break Water
178,178,2/66 Tanner Street," 120,450 ", Oct 2013,0, ,, ,, 874 ,,0,0,0,Break Water
179,179,56 Tucker Street," 350,250 ", Oct 2013,0," 85,000 ", Mar 1988, ,, 762 ,,0,0,0,Break Water
180,180,14 Currier Street," 390,000 ", Oct 2013,0," 220,000 ", Jul 2005, ,," 1,854 ",,0,0,0,Break Water
181,181,58 Tucker Street," 410,000 ", 21 Sep 2013,1, ,, ,," 1,364 ",,0,0,0,Break Water
182,182,5 Tanner Court," 374,500 ", Sep 2013,0," 125,000 ", Dec 2007, ,, 621  ,134.0,0,0,0,Break Water
183,183,6/12 Apparel Close," 332,750 ", Sep 2013,0, ,, ,, 216 ,,0,0,0,Break Water
184,184,7/12 Apparel Close," 269,500 ", Sep 2013,0, ,, ,, 163 ,,0,0,0,Break Water
185,185,1/12-14 Apparel Close," 308,000 ", Aug 2013,0, ,," 20,000 ", Jul 2017, 163 ,,0,0,0,Break Water
186,186,8/12-14 Apparel Close," 264,000 ", Aug 2013,0, ,, ,, 167 ,,0,0,0,Break Water
187,187,48 Tucker Street," 350,000 ", Aug 2013,0, ,, 300 , Jan 2014," 1,176  ",127.0,3,1,1,Break Water
188,188,1/12 Apparel Close," 308,000 ", Aug 2013,0, ,, ,, 163  ,160.0,0,0,0,Break Water
189,189,8/12 Apparel Close," 264,000 ", Aug 2013,0, ,, ,," 3,633 ",,0,0,0,Break Water
190,190,55 Leather Street," 335,000 ", Aug 2013,0," 75,000 ", Sep 1996, ,," 1,534  ",1534.0,0,0,0,Break Water
191,191,324 Boundary Road," 700,000 ", Aug 2013,0," 315,000 ", Jul 2001, ,," 2,179  ",885.0,0,0,0,Break Water
192,192,5 Hitchcock Street," 245,000 ", Jul 2013,0," 62,000 ", Sep 1996, ,, 545 ,,3,1,2,Break Water
193,193,4/12 Apparel Close," 262,350 ", Jul 2013,0, ,, ,, ,,0,0,0,Break Water
194,194,8 Holman Court," 240,000 ", Jul 2013,0," 87,000 ", Dec 2000, ,, 732 ,,3,1,1,Break Water
195,195,2/10 Cosgrove Street," 267,500 ", Jun 2013,0," 250,000 ", Nov 2009, ,, 851 ,,0,0,0,Break Water
