,address,Sell Price,Sell Date,Auction,Last Sell Price,Last Sell Date,Rent Amount PW,Rent Date,Land Size SQM,Building Size SQM,Bedrooms,Toilets,Cars,Suburb,Suburb_Code,Train Station,Bus Station,Hospitals,Schools,Restaurants,Shopping Center,Park,Sub_Lat,Sub_Long
2838,49 Larcombe Street,792000.0,2019-06-01,1,545000.0,2011-12-01,,,805.0,,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2839,14 Fryers Road,460000.0,2019-05-01,0,72500.0,1986-07-01,,,945.0,,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2840,229 Roslyn Road,844000.0,2019-05-01,0,84500.0,1997-08-01,,,766.0,,6,1,7,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2841,5 Lascelles Place,763500.0,2019-05-25,1,74500.0,2001-01-01,,,737.0,240.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2842,7 South Valley Road,647000.0,2019-05-01,0,345000.0,2010-03-01,,,644.0,146.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2843,32 Augustine Drive,650000.0,2019-05-01,0,,,,,822.0,,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2844,1 Adelaide Street,526000.0,2019-09-14,0,,,,,712.0,0.0,3,1,4,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2845,2 Adelaide Street,620000.0,2019-03-09,0,,,,,836.0,0.0,3,1,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2846,14 Adelaide Street,523000.0,2019-07-13,0,,,,,738.0,0.0,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2847,15 Adelaide Street,635000.0,2019-05-04,0,,,,,669.0,0.0,4,2,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2848,20 Aitkenside Avenue,690000.0,2019-10-07,0,,,,,636.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2849,21 Aitkenside Avenue,657000.0,2019-11-14,0,,,,,586.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2850,16 Amberley Court,910000.0,2020-08-21,0,,,,,1003.0,0.0,4,2,6,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2851,18 Aringa Avenue,652000.0,2020-07-11,0,,,,,632.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2852,5 Arkana Avenue,725000.0,2019-05-14,0,,,,,1117.0,0.0,5,2,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2853,6 Arkana Avenue,700000.0,2019-05-26,0,,,,,461.0,0.0,3,2,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2854,20 Arkana Avenue,610000.0,2019-11-30,0,,,,,761.0,0.0,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2855,23 Arkana Avenue,588000.0,2019-10-26,0,,,,,615.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2856,6 Attunga Court,970000.0,2020-03-17,0,,,,,784.0,0.0,4,3,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2857,32 Augustine Drive,650000.0,2019-05-18,0,,,,,822.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2858,70 Augustine Drive,722500.0,2020-07-07,0,,,,,704.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2859,71 Augustine Drive,685000.0,2019-10-23,0,,,,,700.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2860,12 Avondale Avenue,735000.0,2020-08-06,0,,,,,620.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2861,1 Badenoch Court,820000.0,2019-11-08,0,,,,,789.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2862,2 Badenoch Court,782000.0,2019-11-09,0,,,,,666.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2863,5 Badenoch Court,880000.0,2019-12-16,0,,,,,853.0,33.0,4,2,4,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2864,34 Barrabool Road,840000.0,2019-03-26,0,,,,,994.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2865,179B Barrabool Road,600000.0,2019-09-09,0,,,,,370.0,0.0,3,2,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2866,14 Barwon Boulevard,865000.0,2019-03-15,0,,,,,750.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2867,48 Barwon Boulevard,760000.0,2020-07-14,0,,,,,884.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2868,8 Baum Crescent,672356.0,2020-05-06,0,,,,,880.0,0.0,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2869,28 Baum Crescent,610000.0,2019-04-24,0,,,,,713.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2870,2 Bayview Court,775000.0,2019-02-04,0,,,,,701.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2871,37 Belle Vue Avenue,610000.0,2019-08-01,0,,,,,709.0,139.3546,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2872,38 Belle Vue Avenue,490000.0,2019-09-23,0,,,,,737.0,0.0,2,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2873,39 Belle Vue Avenue,725000.0,2019-12-07,0,,,,,656.0,0.0,3,2,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2874,56 Belle Vue Avenue,601000.0,2020-08-01,0,,,,,765.0,0.0,3,1,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2875,59 Belle Vue Avenue,669000.0,2020-03-07,0,,,,,552.0,112.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2876,66 Belle Vue Avenue,580000.0,2019-10-05,0,,,,,700.0,0.0,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2877,72 Belle Vue Avenue,706000.0,2019-01-29,0,,,,,651.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2878,101 Belle Vue Avenue,675000.0,2019-08-10,0,,,,,706.0,0.0,3,2,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2879,104 Belle Vue Avenue,535000.0,2019-12-14,0,,,,,681.0,0.0,3,1,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2880,112 Belle Vue Avenue,559000.0,2020-01-16,0,,,,,677.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2881,14 Bennett Street,672500.0,2020-08-26,0,,,,,680.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2882,4 Berry Court,502500.0,2019-01-09,0,,,,,799.0,0.0,3,2,0,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2883,7 Bonsey Road,650000.0,2020-04-18,0,,,,,727.0,0.0,4,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2884,13 Bonsey Road,750000.0,2020-01-22,0,,,,,490.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2885,14 Bonsey Road,710000.0,2020-03-31,0,,,,,887.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2886,26 Bonsey Road,500000.0,2019-01-30,0,,,,,665.0,0.0,3,1,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2887,37 Bonsey Road,860000.0,2019-03-23,0,,,,,859.0,196.0,4,2,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2888,14 Brassey Avenue,940000.0,2019-04-30,0,,,,,778.0,0.0,5,3,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2889,1 Bundoora Crescent,800000.0,2019-10-21,0,,,,,862.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2890,2 Bundoora Crescent,596000.0,2019-09-21,0,,,,,746.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2891,7 Bundoora Crescent,782000.0,2019-10-05,0,,,,,623.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2892,3 Burdekin Road,740000.0,2019-09-20,0,,,,,744.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2893,9 Cahill Court,665000.0,2020-03-11,0,,,,,722.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2894,1 Cannes Court,624000.0,2019-11-09,0,,,,,645.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2895,4 Cannes Court,570000.0,2019-03-02,0,,,,,648.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2896,14 Cannes Court,290000.0,2020-02-05,0,,,,,665.0,0.0,3,2,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2897,2/4 Cara Road,610000.0,2019-03-13,0,,,,,300.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2898,11-13 Cara Road,1885000.0,2020-02-11,0,,,,,1582.0,0.0,5,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2899,14 Cara Road,755000.0,2019-06-12,0,,,,,844.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2900,21 Cara Road,756000.0,2020-06-17,0,,,,,817.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2901,22 Cara Road,970000.0,2020-06-15,0,,,,,829.0,0.0,4,3,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2902,27 Cara Road,735000.0,2019-08-06,0,,,,,837.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2903,43 Cara Road,595000.0,2020-06-27,0,,,,,687.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2904,5 Caroline Street,730000.0,2019-07-18,0,,,,,717.0,0.0,4,2,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2905,6 Caroline Street,598000.0,2019-02-22,0,,,,,962.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2906,7 Caroline Street,700000.0,2020-03-14,0,,,,,717.0,0.0,3,2,4,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2907,1 Carroll Road,900000.0,2019-05-13,0,,,,,977.0,0.0,4,3,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2908,2/11 Carroll Road,1030000.0,2019-02-23,0,,,,,611.0,0.0,4,2,4,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2909,32 Carroll Road,815000.0,2020-06-15,0,,,,,500.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2910,7 Caudry Street,780000.0,2020-04-24,0,,,,,825.0,287.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2911,12 Caudry Street,676000.0,2019-01-16,0,,,,,805.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2912,17 Cedarville Close,510000.0,2019-03-08,0,,,,,350.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2913,19 Cedarville Close,590000.0,2019-12-13,0,,,,,945.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2914,1 Cedmar Avenue,578000.0,2019-10-05,0,,,,,772.0,0.0,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2915,6 Cedmar Avenue,695000.0,2019-07-12,0,,,,,685.0,245.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2916,15 Challambra Crescent,845000.0,2019-11-20,0,,,,,998.0,0.0,4,3,4,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2917,5 Cheam Walk,620000.0,2019-03-23,0,,,,,676.0,0.0,5,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2918,9 Clemont Street,806000.0,2019-06-12,0,,,,,804.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2919,21 Clifford Street,750000.0,2019-07-11,0,,,,,580.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2920,8 Clydesdale Way,825000.0,2020-02-22,0,,,,,645.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2921,14 Clydesdale Way,733800.0,2020-05-29,0,,,,,708.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2922,68 Clydesdale Way,915000.0,2020-02-26,0,,,,,996.0,0.0,4,2,4,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2923,70 Clydesdale Way,1055000.0,2019-11-18,0,,,,,996.0,0.0,3,2,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2924,6 Cobden Street,485000.0,2019-07-03,0,,,,,658.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2925,20 Crestmoor Drive,452000.0,2019-03-07,0,,,,,748.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2926,5 Cuthbert Avenue,624000.0,2020-02-08,0,,,,,589.0,0.0,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2927,9 Cuthbert Avenue,500500.0,2019-07-26,0,,,,,589.0,0.0,4,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2928,11 Cuthbert Avenue,500000.0,2020-05-15,0,,,,,589.0,0.0,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2929,34 Cuthbert Avenue,565000.0,2020-03-18,0,,,,,589.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2930,36 Cuthbert Avenue,540000.0,2019-10-07,0,,,,,589.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2931,21 Daly Boulevard,695000.0,2019-12-04,0,,,,,722.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2932,24 Daly Boulevard,720000.0,2019-07-06,0,,,,,619.0,0.0,4,2,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2933,61 Daly Boulevard,613000.0,2020-06-26,0,,,,,612.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2934,67 Daly Boulevard,565000.0,2019-04-12,0,,,,,647.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2935,18 Dartmoor Drive,935000.0,2020-01-21,0,,,,,846.0,0.0,4,2,6,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2936,2 Desmond Street,630000.0,2020-08-05,0,,,,,1003.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2937,3 Donnington Court,735000.0,2019-01-08,0,,,,,874.0,0.0,3,2,6,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2938,12 Dryden Way,750000.0,2019-12-13,0,,,,,368.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2939,35 Dryden Way,767000.0,2019-07-19,0,,,,,647.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2940,16 Duggan Court,640000.0,2020-07-11,0,,,,,711.0,0.0,3,2,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2941,3-4 Dumfries Court,645000.0,2019-03-21,0,,,,,762.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2942,3 Dunsmore Road,830000.0,2020-02-29,0,,,,,706.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2943,10 Dunsmore Road,550000.0,2020-06-04,0,,,,,679.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2944,20 Dunsmore Road,630000.0,2019-01-25,0,,,,,656.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2945,33 Dunsmore Road,637500.0,2019-11-09,0,,,,,677.0,0.0,4,2,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2946,5 East Kirkby Court,771000.0,2019-02-23,0,,,,,837.0,0.0,5,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2947,5 Elliott Avenue,613250.0,2020-05-29,0,,,,,652.0,0.0,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2948,8 Elliott Avenue,585000.0,2020-05-14,0,,,,,647.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2949,30 Elliott Avenue,550000.0,2019-07-06,0,,,,,651.0,0.0,3,1,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2950,23 Esperence Crescent,920000.0,2019-01-07,0,,,,,670.0,0.0,5,3,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2951,29 Esperence Crescent,765000.0,2019-03-30,0,,,,,670.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2952,32 Esperence Crescent,690000.0,2019-11-15,0,,,,,643.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2953,3 Ettric Way,560000.0,2020-06-27,0,,,,,362.0,128.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2954,6 Ettric Way,840000.0,2020-07-14,0,,,,,561.0,0.0,4,2,0,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2955,23 Evwick Crescent,500000.0,2019-09-09,0,,,,,622.0,0.0,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2956,17 Exmoor Close,635000.0,2019-10-17,0,,,,,748.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2957,10 Fenland Court,641000.0,2020-02-05,0,,,,,635.0,0.0,1,2,4,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2958,2A Fernhill Drive,550000.0,2019-01-09,0,,,,,778.0,0.0,4,1,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2959,5 Floreat Avenue,610000.0,2019-09-19,0,,,,,734.0,0.0,4,2,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2960,21 Fogarty Avenue,686000.0,2019-02-08,0,,,,,684.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2961,56 Fogarty Avenue,620000.0,2019-09-09,0,,,,,678.0,0.0,3,2,4,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2962,72 Fogarty Avenue,795000.0,2019-10-27,0,,,,,936.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2963,73 Fogarty Avenue,795000.0,2019-12-16,0,,,,,703.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2964,96 Fogarty Avenue,815000.0,2020-06-23,0,,,,,665.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2965,9 Foymount Crescent,920000.0,2020-04-26,0,,,,,639.0,325.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2966,11-13 Frogmore Way,980000.0,2019-04-29,0,,,,,781.0,0.0,5,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2967,9 Fryers Road,638000.0,2020-03-07,0,,,,,658.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2968,10 Fryers Road,525000.0,2019-10-31,0,,,,,654.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2969,12 Fryers Road,580000.0,2020-02-08,0,,,,,665.0,0.0,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2970,13 Fryers Road,580000.0,2019-01-31,0,,,,,642.0,0.0,4,2,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2971,14 Fryers Road,460000.0,2019-05-27,0,,,,,946.0,0.0,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2972,4 Galloway Court,750000.0,2020-03-14,0,,,,,512.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2973,14 Galloway Court,685000.0,2019-07-26,0,,,,,466.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2974,6 Garvey Court,575000.0,2019-04-08,0,,,,,615.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2975,19 Garvey Court,550000.0,2019-12-03,0,,,,,418.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2976,10 Glastonbury Drive,641000.0,2020-04-26,0,,,,,660.0,0.0,4,2,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2977,48 Glastonbury Drive,700000.0,2019-12-06,0,,,,,650.0,234.0,4,2,4,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2978,10 Glenmire Street,571000.0,2019-10-26,0,,,,,634.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2979,22 Granby Crescent,655000.0,2019-10-19,0,,,,,734.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2980,27 Grantham Drive,897000.0,2019-11-22,0,,,,,675.0,50.0,5,4,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2981,37 Grantham Drive,825000.0,2020-01-23,0,,,,,725.0,0.0,4,2,6,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2982,118 Grantham Drive,910000.0,2020-02-25,0,,,,,921.0,464.5152,4,4,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2983,133 Grantham Drive,710000.0,2020-05-07,0,,,,,680.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2984,138 Grantham Drive,742000.0,2019-03-26,0,,,,,770.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2985,161 Grantham Drive,850000.0,2020-03-14,0,,,,,720.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2986,7 Gwyther Road,740000.0,2020-02-10,0,,,,,726.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2987,20 Gwyther Road,550000.0,2019-01-19,0,,,,,721.0,0.0,4,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2988,31 Gwyther Road,610000.0,2019-11-09,0,,,,,734.0,0.0,4,3,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2989,21 Helena Street,680000.0,2020-03-21,0,,,,,667.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2990,3 Hendriks Court,225000.0,2019-12-12,0,,,,,654.0,0.0,2,2,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2991,7 Hendriks Court,485000.0,2019-02-15,0,,,,,654.0,0.0,4,2,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2992,8 Hendriks Court,580000.0,2019-05-01,0,,,,,654.0,0.0,3,1,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2993,11 Hewat Drive,664000.0,2019-06-25,0,,,,,741.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2994,31 Hewat Drive,955000.0,2019-08-28,0,,,,,755.0,0.0,8,8,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2995,43-45 Hewat Drive,655000.0,2019-10-26,0,,,,,625.0,0.0,5,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2996,14 Highett Road,760000.0,2020-04-08,0,,,,,691.0,0.0,4,3,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2997,28 Highett Road,990000.0,2020-05-08,0,,,,,739.0,0.0,5,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2998,10 Highland Way,785000.0,2019-04-29,0,,,,,817.0,0.0,5,3,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
2999,19 Highland Way,872000.0,2019-01-21,0,,,,,961.0,0.0,4,2,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
3000,27 Highland Way,1000000.0,2019-05-30,0,,,,,865.0,0.0,5,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
3001,41-43 Highland Way,940000.0,2019-09-19,0,,,,,1009.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
3002,57 Highland Way,860000.0,2020-04-28,0,,,,,490.0,0.0,4,2,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
3003,73 Highland Way,1120000.0,2019-05-25,0,,,,,559.0,0.0,5,3,3,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
3004,6-8 Hill Park Place,720000.0,2019-02-14,0,,,,,675.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
3005,12 Hillary Court,650000.0,2019-09-18,0,,,,,429.0,0.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
3006,4 Horizon Court,642000.0,2019-01-25,0,,,,,683.0,0.0,5,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
3007,30 Horizon Court,815000.0,2019-02-09,0,,,,,650.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
3008,6 Huntly Close,725000.0,2020-07-27,0,,,,,777.0,0.0,4,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
3009,7 Huntly Close,625000.0,2019-07-24,0,,,,,796.0,153.0,3,2,2,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
3010,13 Huntly Close,605000.0,2020-05-15,0,,,,,870.0,0.0,0,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
3011,5 Hutcheson Avenue,479000.0,2019-06-20,0,,,,,651.0,0.0,3,1,1,Highton,15,0,8,5,5,25,2,2,-38.177915000000006,144.314356
